date,symbol,entry_time,exit_time,outcome,risk_by_percentage,pl_by_rr,pl_by_percentage
01-24-2024,MNQ,9:20:00,9:20:00,LOSS,1.00%,-1.00,-1.00%
11-12-2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.60,1.60%
11-18-2024,MNQ,9:23:00,10:23:00,LOSS,1.00%,-1.00,-1.00%
11-19-2024,MNQ,9:54:00,10:54:00,WIN,1.00%,0.00,0.00%
11-20-2024,MNQ,9:54:00,10:54:00,BE,1.00%,0.30,0.30%
11-23-2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.90,1.90%
11-25-2024,MNQ,9:30:00,10:30:00,WIN,1.00%,1.80,1.80%
11-27-2024,MNQ,7:12:00,8:12:00,WIN,1.00%,1.20,1.20%
12-02-2024,MNQ,8:22:00,9:22:00,BE,1.00%,0.10,0.10%
12-03-2024,MNQ,10:21:00,11:21:00,WIN,1.00%,1.90,1.90%
12-05-2024,MNQ,10:01:00,11:01:00,WIN,1.00%,1.60,1.60%
12-09-2024,MNQ,10:12:00,11:12:00,LOSS,1.00%,-1.00,-1.00%
12-10-2024,MNQ,9:35:00,10:35:00,WIN,1.00%,1.80,1.80%
12-11-2024,MNQ,11:23:00,12:23:00,BE,1.00%,0.30,0.30%
12-12-2024,MNQ,10:20:00,11:20:00,WIN,1.00%,1.80,1.80%
12-13-2024,MNQ,8:43:00,9:43:00,BE,1.00%,0.10,0.10%
12-17-2024,MNQ,9:34:00,10:34:00,BE,1.00%,0.00,0.00%
12-20-2024,MNQ,9:20:00,10:20:00,WIN,1.00%,1.80,1.80%
12-23-2024,MNQ,8:45:00,9:45:00,BE,1.00%,0.00,0.00%
12-31-2024,MNQ,9:33:00,10:33:00,WIN,1.00%,1.80,1.80%
12-10-2025,MNQ,9:35:00,9:48:00,LOSS,1.00%,-1.00,-1.00%
01-13-2025,MNQ,8:45:00,8:45:00,BE,1.00%,0.30,0.30%
01-15-2025,MNQ,9:06:00,9:06:00,BE,1.00%,0.10,0.10%
01-16-2025,MNQ,9:24:00,9:24:00,WIN,1.00%,1.70,1.70%
01-20-2025,MNQ,9:21:00,9:21:00,WIN,1.00%,2.10,2.10%
01-22-2025,MNQ,9:48:00,9:48:00,WIN,1.00%,1.10,1.10%
02-11-2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.00,2.00%
02-12-2025,MNQ,8:56:00,9:56:00,BE,1.00%,0.00,0.00%
02-13-2025,MNQ,9:46:00,10:56:00,BE,1.00%,0.00,0.00%
02-14-2025,MNQ,10:46:00,11:56:00,BE,1.00%,0.00,0.00%
02-18-2025,MNQ,9:12:00,10:12:00,WIN,1.00%,2.10,2.10%
02-20-2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.00,2.00%
02-25-2025,MNQ,9:35:00,10:35:00,WIN,1.00%,2.00,2.00%
02-27-2025,MNQ,9:31:00,10:31:00,WIN,1.00%,2.00,2.00%
03-03-2025,MNQ,3:10:00,4:10:00,WIN,1.00%,2.00,2.00%
03-04-2025,MNQ,3:05:00,4:05:00,WIN,1.00%,1.20,1.20%
2025-03-12,MNQ,10:10:00,10:43:00,WIN,1.00%,2.00,2.00%
